id,class_of,schoool,major,degree_level,grad_term,outcome,employer,position_country,position_city,position_state,salary,cont_edu,cont_edu_field,cont_edu_degree
1890,2021,Ying Wu College of Computing,Data Science,Master,12/31/2020,Full-Time,Neudesic,,,,,,,
1891,2021,Newark College of Engineering,Pharmaceutical Engineering,Master,5/18/2021,Full-Time,Bristol Myers Squibb,,,,,,,
1892,2021,College of Science and Liberal Arts,Biology,Bachelor,12/31/2020,Full-Time,Thermo Fisher Scientific,,,,,,,
1893,2021,Newark College of Engineering,Civil Engineering,Bachelor,5/18/2021,Full-Time,AECOM,,,,,,,
1894,2021,Newark College of Engineering,Civil Engineering,Bachelor,8/31/2020,Full-Time,"EnTech Engineering, PC",,,,,,,
1895,2021,Newark College of Engineering,Civil Engineering,Master,5/18/2021,Full-Time,"Stanley Black & Decker, Inc.",,,,,,,
1896,2021,Newark College of Engineering,Medical Informatics Technology,Bachelor,8/31/2020,Full-Time,Spaces Usa,,,,,,,
1897,2021,College of Science and Liberal Arts,Forensic Science,Bachelor,5/18/2021,Full-Time,Cape Regional Oncology And Hemotology Medical Center,,,,,,,
1898,2021,College of Science and Liberal Arts,Biology,Bachelor,5/18/2021,Full-Time,Park Avenue Dental: Center For Aesthetic And Implant Dentistry,USA,Newark,NJ,,Rutgers School of Dental Medicine,Health/Medicine,"Medical degree (M.D., DDS, etc.)"
1899,2021,Newark College of Engineering,Electrical Engineering,Master,5/18/2021,Full-Time,Amazon,,,,,,,
1900,2021,Martin Tuchman School of Management,Business,Bachelor,12/31/2020,Full-Time,Fintech Esg Startup Self-employed,,,,,,,
1901,2021,Newark College of Engineering,Computer Technology,Bachelor,5/18/2021,Self-Employed,Self-Employed,,,,,,,
1902,2021,Newark College of Engineering,Civil Engineering Technology,Bachelor,12/31/2020,Self-Employed,Self-Employed,,,,,,,
1903,2021,Newark College of Engineering,Civil Engineering Technology,Bachelor,5/18/2021,Self-Employed,Self-Employed,,,,,,,
1904,2021,Newark College of Engineering,Engineering Management,Master,5/18/2021,Full-Time,Citigroup,,,,,,,
1905,2021,Newark College of Engineering,Industrial Engineering,Bachelor,8/31/2020,Full-Time,Kubrick Group,,,,,,,
1906,2021,Newark College of Engineering,General Engineering,Bachelor,8/31/2020,Full-Time,Miraca Life Sciences ,,,,,,,
1907,2021,College of Science and Liberal Arts,Biology,Bachelor,5/18/2021,Full-Time,Correlation One,,,,,,,
1908,2021,Ying Wu College of Computing,Computer Science,Master,5/18/2021,Self-Employed,Self-Employed,,,,,,,
1909,2021,Ying Wu College of Computing,Data Science,Master,5/18/2021,Self-Employed,Self-Employed,,,,,,,
1910,2021,Newark College of Engineering,Electrical Engineering,Bachelor,12/31/2020,Full-Time,Los Angeles Metro,,,,,,,
1911,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,5/18/2021,Full-Time,AW Machinery,,,,,,,
1912,2021,Newark College of Engineering,Electrical Engineering,Master,8/31/2020,Full-Time,Falstrom Company,,,,,,,
1913,2021,Newark College of Engineering,Civil Engineering,Bachelor,12/31/2020,Full-Time,Michael Baker International,,,,,,,
1914,2021,Newark College of Engineering,Electrical and Computer Engineering Technology,Bachelor,8/31/2020,Full-Time,DLB Associates ,,,,,,,
1915,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,5/18/2021,Full-Time,Micro Manufacturing Solutions For Life,,,,,,,
1916,2021,Newark College of Engineering,Civil Engineering,Bachelor,5/18/2021,Full-Time,Mott Macdonald,,,,,,,
1917,2021,College of Science and Liberal Arts,Environmental Science,Bachelor,5/18/2021,Full-Time,Clean Vapor LLC,,,,,,,
1918,2021,College of Science and Liberal Arts,Environmental Science,Master,12/31/2020,Full-Time,New Jersey Department Of Environmental Protection,,,,,,,
1919,2021,Newark College of Engineering,Civil Engineering Technology,Bachelor,5/18/2021,Full-Time, ,,,,,,,
1920,2021,Newark College of Engineering,Mechanical Engineering Technology,Bachelor,5/18/2021,Full-Time, ,,,,,,,
1921,2021,Ying Wu College of Computing,Computer Science,Master,5/18/2021,Full-Time,New Jersey Institute Of Technology,,,,,,,
1922,2021,Newark College of Engineering,Biomedical Engineering,Bachelor,12/31/2020,Full-Time,Cytiva,,,,,,,
1923,2021,Martin Tuchman School of Management,Business,Bachelor,5/18/2021,Full-Time,Equitable Advisors,,,,,,,
1924,2021,Martin Tuchman School of Management,Business,Bachelor,12/31/2020,Self-Employed,Self-Employed,,,,,,,
1925,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,12/31/2020,Full-Time,Enterprise Holdings,,,,,,,
1926,2021,Ying Wu College of Computing,Computer Science,Bachelor,5/18/2021,Full-Time,Webstacks,,,,,,,
1927,2021,Newark College of Engineering,Civil Engineering,Bachelor,12/31/2020,Self-Employed,Self-Employed,,,,,,,
1928,2021,Newark College of Engineering,Electrical and Computer Engineering Technology,Bachelor,5/18/2021,Full-Time,Hellofresh,,,,,,,
1929,2021,Ying Wu College of Computing,Data Science,Master,5/18/2021,Full-Time,"Ross Stores, Inc",,,,,,,
1930,2021,Ying Wu College of Computing,Computer Science,Bachelor,5/18/2021,Self-Employed,Self-Employed,,,,,,,
1931,2021,Martin Tuchman School of Management,Business,Bachelor,8/31/2020,Full-Time,Jas Worldwide,,,,,,,
1932,2021,Ying Wu College of Computing,Computer Science,Bachelor,5/18/2021,Self-Employed,Self-Employed,,,,,,,
1933,2021,Hillier College of Architecture and Design,Industrial Design,Bachelor,5/18/2021,Self-Employed,Self-Employed,,,,,,,
1934,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,12/31/2020,Full-Time,"NEP Group, Inc.",,,,,,,
1935,2021,Ying Wu College of Computing,Business and Information Systems,Bachelor,5/18/2021,Full-Time,State Of New Jersey,,,,,,,
1936,2021,Newark College of Engineering,Civil Engineering,Bachelor,8/31/2020,Full-Time,Atlas Evaluation & Inspection Services (aeis),,,,,,,
1937,2021,Ying Wu College of Computing,Information Technology,Bachelor,12/31/2020,Full-Time,Najmee,,,,,,,
1938,2021,Ying Wu College of Computing,Information Technology,Bachelor,8/31/2020,Full-Time,Navy,,,,,,,
1939,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,5/18/2021,Full-Time,Valcor Engineering Corporation ,,,,,,,
1940,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Full-Time,Network Doctor,,,,,,,
1941,2021,Hillier College of Architecture and Design,Architecture,Bachelor,12/31/2020,Self-Employed,Self-Employed,,,,,,,
1942,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Full-Time,New York City Fire Department Contract,,,,,,,
1943,2021,Newark College of Engineering,Chemical Engineering,Bachelor,12/31/2020,Full-Time,YMV Trucking LLC,,,,,,,
1944,2021,Newark College of Engineering,Mechanical Engineering Technology,Bachelor,12/31/2020,Full-Time,"Triangle Manufacturing Company, Inc.",,,,,,,
1945,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Full-Time,TD,,,,,,,
1946,2021,Newark College of Engineering,Chemical Engineering,Bachelor,12/31/2020,Full-Time,Bristol Myers Squibb,,,,,,,
1947,2021,Newark College of Engineering,Biomedical Engineering,Bachelor,12/31/2020,Full-Time,"Burpee Medsystems, LLC",,,,,,,
1948,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,12/31/2020,Full-Time,Vision Hardware,,,,,,,
1949,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,12/31/2020,Full-Time,"Arora Engineers, Inc.",,,,,,,
1950,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,8/31/2020,Full-Time,Bicaluro Associates PC,,,,,,,
1951,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,12/31/2020,Self-Employed,Self-Employed,,,,,,,
1952,2021,Newark College of Engineering,Mechanical Engineering Technology,Bachelor,12/31/2020,Self-Employed,Self-Employed,,,,,,,
1953,2021,Newark College of Engineering,Mechanical Engineering Technology,Bachelor,5/18/2021,Full-Time,"M&e Engineers, Inc",,,,,,,
1954,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,8/31/2020,Full-Time,Davis-Standard,,,,,,,
1955,2021,Newark College of Engineering,Biomedical Engineering,Master,5/18/2021,Full-Time,Al-dawaa Medical Services Co. Ltd (dmsco),,,,,,,
1956,2021,Newark College of Engineering,Biomedical Engineering,Bachelor,5/18/2021,Full-Time,Star Laboratory Corporation,,,,,,,
1957,2021,College of Science and Liberal Arts,Biology,Bachelor,8/31/2020,Full-Time,Colon Stomach & Liver Center,,,,,,,
1958,2021,Ying Wu College of Computing,Data Science,Master,8/31/2020,Full-Time,Con Edison,,,,,,,
1959,2021,Newark College of Engineering,Chemical Engineering,Master,12/31/2020,Full-Time,New Jersey Institute Of Technology,,,,,,,
1960,2021,Newark College of Engineering,Electrical Engineering,Doctorate,12/31/2020,Full-Time,New Jersey Institute Of Technology,,,,,,,
1961,2021,Newark College of Engineering,Environmental Engineering,Doctorate,12/31/2020,Full-Time,The University Of New Mexico,,,,,,,
1962,2021,Ying Wu College of Computing,Information Systems,Bachelor,12/31/2020,Full-Time,Laronix,,,,,,,
1963,2021,Newark College of Engineering,Electrical Engineering,Master,5/18/2021,Full-Time,Intel Corporation,,,,,,,
1964,2021,Newark College of Engineering,Mechanical Engineering,Doctorate,5/18/2021,Full-Time,Spx Flow,,,,,,,
1965,2021,Newark College of Engineering,Biomedical Engineering,Master,5/18/2021,Full-Time,Stryker Contract,,,,,,,
1966,2021,Newark College of Engineering,Concrete Industry Management,Bachelor,8/31/2020,Full-Time,New Jersey Institute Of Technology,,,,,,,
1967,2021,Newark College of Engineering,Civil Engineering Technology,Bachelor,8/31/2020,Full-Time,"J. Fletcher Creamer & Son, Inc.",,,,,,,
1968,2021,Newark College of Engineering,Engineering Management,Master,5/18/2021,Full-Time,Structure Tone,,,,,,,
1969,2021,Newark College of Engineering,Civil Engineering,Bachelor,5/18/2021,Full-Time,"Building Engineering-Consultants, Inc.",,,,,,,
1970,2021,College of Science and Liberal Arts,Biology,Bachelor,5/18/2021,Full-Time,Tmg Construction Corporation,,,,,,,
1971,2021,Newark College of Engineering,Electrical and Computer Engineering Technology,Bachelor,12/31/2020,Full-Time,Werlatone Inc.,,,,,,,
1972,2021,Newark College of Engineering,Biomedical Engineering,Bachelor,5/18/2021,Full-Time,Getinge,,,,37440.00,,,
1973,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,5/18/2021,Full-Time,Getinge,,,,,,,
1974,2021,College of Science and Liberal Arts,Materials Science and Engineering,Doctorate,8/31/2020,Full-Time,New Jersey Institute Of Technology,,,,,,,
1975,2021,Newark College of Engineering,Electrical Engineering,Bachelor,8/31/2020,Full-Time, ,,,,,,,
1976,2021,Ying Wu College of Computing,Information Technology,Bachelor,12/31/2020,Full-Time, ,,,,,,,
1977,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Full-Time, ,,,,,,,
1978,2021,Ying Wu College of Computing,Information Technology,Bachelor,12/31/2020,Full-Time, ,,,,,,,
1979,2021,Ying Wu College of Computing,Information Technology,Bachelor,12/31/2020,Full-Time, ,,,,,,,
1980,2021,Newark College of Engineering,Electrical Engineering,Bachelor,12/31/2020,Full-Time, ,,,,,,,
1981,2021,Newark College of Engineering,Electrical Engineering,Master,8/31/2020,Full-Time, ,,,,,,,
1982,2021,Ying Wu College of Computing,Computer Science,Bachelor,5/18/2021,Full-Time,Samsung Medison,,,,,,,
1983,2021,Ying Wu College of Computing,Information Technology,Bachelor,12/31/2020,Full-Time,IND Corporation,,,,,,,
1984,2021,Newark College of Engineering,Electrical Engineering,Master,5/18/2021,Full-Time, ,,,,,,,
1985,2021,Ying Wu College of Computing,Data Science,Master,5/18/2021,Full-Time, ,,,,,,,
1986,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Self-Employed,Self-Employed,,,,,,,
1987,2021,Ying Wu College of Computing,Software Engineering,Master,8/31/2020,Full-Time,Infosys,,,,,,,
1988,2021,Ying Wu College of Computing,Computer Science,Bachelor,5/18/2021,Full-Time,Lockheed Martin,,,,,,,
1989,2021,College of Science and Liberal Arts,Applied Physics,Doctorate,12/31/2020,Self-Employed,Self-Employed,,,,,,,
1990,2021,Newark College of Engineering,Electrical Engineering,Doctorate,8/31/2020,Full-Time, ,,,,,,,
1991,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,12/31/2020,Full-Time,"Arora Engineers, Inc.",,,,,,,
1992,2021,Newark College of Engineering,Mechanical Engineering,Master,5/18/2021,Full-Time, ,,,,,,,
1993,2021,Ying Wu College of Computing,Information Systems,Master,12/31/2020,Full-Time,Infosys,,,,,,,
1994,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Full-Time,Teaneck Board Of Education,,,,,,,
1995,2021,Newark College of Engineering,Civil Engineering Technology,Bachelor,5/18/2021,Full-Time,The Port Authority Of New York & New Jersey,,,,,,,
1996,2021,Newark College of Engineering,Civil Engineering Technology,Bachelor,5/18/2021,Self-Employed,Self-Employed,,,,,,,
1997,2021,Hillier College of Architecture and Design,Industrial Design,Bachelor,5/18/2021,Full-Time,Joshua Zinder Architecture + Design,,,,,,,
1998,2021,Hillier College of Architecture and Design,Digital Design,Bachelor,5/18/2021,Self-Employed,Self-Employed,,,,,,,
1999,2021,Ying Wu College of Computing,Computing and Business,Master,5/18/2021,Full-Time,New Jersey Institute Of Technology ,,,,,,,
2000,2021,Newark College of Engineering,Chemical Engineering,Bachelor,5/18/2021,Internship,L3harris Technologies,,,,,,,
2001,2021,Ying Wu College of Computing,Business and Information Systems,Bachelor,12/31/2020,Internship,UPS,,,,,,,
2002,2021,Ying Wu College of Computing,Information Systems,Bachelor,5/18/2021,Internship,UPS,,,,,,,
2003,2021,Ying Wu College of Computing,Computer Science,Bachelor,12/31/2020,Internship,"UPS	 	",,,,,,,
2004,2021,Newark College of Engineering,Computer Engineering,Bachelor,5/18/2021,Internship,United Parcel Service General Services Co.,,,,,,,
2005,2021,Hillier College of Architecture and Design,Industrial Design,Bachelor,12/31/2020,Internship,L'Oreal,,,,,,,
2006,2021,Hillier College of Architecture and Design,Architecture,Bachelor,8/31/2020,Internship,Design Resources Group,,,,,,,
2007,2021,Newark College of Engineering,Civil Engineering,Bachelor,5/18/2021,Internship,"Langan Engineering and Environmental Services, Inc.",,,,,,,
2008,2021,Ying Wu College of Computing,Computer Science,Bachelor,12/31/2020,Internship,JP Morgan Chase,,,,45000.00,,,
2009,2021,Newark College of Engineering,Civil Engineering,Bachelor,5/18/2021,Internship,"Langan Engineering and Environmental Services, Inc.",,,,,,,
2010,2021,Ying Wu College of Computing,Computing and Business,Bachelor,5/18/2021,Internship,Facebook,,,,,,,
2011,2021,Newark College of Engineering,Electrical and Computer Engineering Technology,Bachelor,5/18/2021,Internship,UMBA,,,,41600.00,,,
2012,2021,Ying Wu College of Computing,Computer Science,Master,5/18/2021,Internship,ADP,,,,,,,
2013,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Internship,NJ Transit,,,,,,,
2014,2021,Newark College of Engineering,Electrical Engineering,Bachelor,5/18/2021,Internship,PSEG,,,,,,,
2015,2021,Martin Tuchman School of Management,Business,Bachelor,5/18/2021,Internship,Hudson County Schools of Technology,,,,,,,
2016,2021,Ying Wu College of Computing,Information Technology,Bachelor,12/31/2020,Internship,Leadership Edges LLC,,,,,,,
2017,2021,Ying Wu College of Computing,Information Technology,Bachelor,12/31/2020,Internship,Leadership Edges LLC,,,,,,,
2018,2021,Newark College of Engineering,Electrical and Computer Engineering Technology,Bachelor,12/31/2020,Internship,City Of Newark,,,,,,,
2019,2021,Newark College of Engineering,Engineering Management,Master,5/18/2021,Internship,Smeg SpA,,,,,,,
2020,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,5/18/2021,Internship,Mcwane Ductile,,,,,,,
2021,2021,Martin Tuchman School of Management,Business,Bachelor,12/31/2020,Internship,Nisivoccia,,,,,,,
2022,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,12/31/2020,Internship,Getinge,,,,,,,
2023,2021,Newark College of Engineering,Civil Engineering,Bachelor,5/18/2021,Internship,"Langan Engineering and Environmental Services, Inc.",,,,,,,
2024,2021,Ying Wu College of Computing,Computer Science,Master,5/18/2021,Part-Time,New Jersey Institute of Technology,,,,,,,
2025,2021,Martin Tuchman School of Management,Management,Master,8/31/2020,Part-Time,New Jersey Institute of Technology,,,,,,,
2026,2021,College of Science and Liberal Arts,Chemistry,Master,12/31/2020,Part-Time,New Jersey Institute of Technology,,,,,,,
2027,2021,College of Science and Liberal Arts,"Law, Technology, and Culture",Bachelor,8/31/2020,Part-Time,New Jersey Institute of Technology,,,,,,,
2028,2021,Ying Wu College of Computing,Information Technology,Bachelor,12/31/2020,Part-Time,New Jersey Institute of Technology,,,,,,,
2029,2021,Martin Tuchman School of Management,Business,Bachelor,5/18/2021,Part-Time,New Jersey Institute of Technology,,,,,,,
2030,2021,Ying Wu College of Computing,Business and Information Systems,Bachelor,5/18/2021,Currently seeking employment,,,,,,,,
2031,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Currently seeking employment,,,,,,,,
2032,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,12/31/2020,Currently seeking employment,New Jersey Instmeute Of Engineering,,,,,,,
2033,2021,Newark College of Engineering,Biomedical Engineering,Bachelor,5/18/2021,Part-Time,New Jersey Institute of Technology,,,,,,,
2034,2021,Newark College of Engineering,Computer Engineering,Bachelor,5/18/2021,Part-Time,New Jersey Institute of Technology,,,,,,,
2035,2021,Ying Wu College of Computing,Computer Science,Master,12/31/2020,Full-Time,Tata Consultancy Services ,,,,,,,
2036,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,5/18/2021,Part-Time,New Jersey Institute of Technology,,,,,,,
2037,2021,Ying Wu College of Computing,Data Science,Master,5/18/2021,Not Seeking Employment, ,,,,,,,
2038,2021,Newark College of Engineering,Chemical Engineering,Master,12/31/2020,Part-Time, ,,,,,,,
2039,2021,Ying Wu College of Computing,Data Science,Master,5/18/2021,Part-Time,"Belikewatr, Inc. ",,,,,,,
2040,2021,Newark College of Engineering,Concrete Industry Management,Bachelor,5/18/2021,Part-Time,New Jersey Institute of Technology,,,,,,,
2041,2021,Ying Wu College of Computing,Computer Science,Doctorate,5/18/2021,Part-Time,New Jersey Institute of Technology,,,,,,,
2042,2021,Ying Wu College of Computing,Information Technology,Bachelor,12/31/2020,Part-Time,New Jersey Institute of Technology,,,,,,,
2043,2021,Martin Tuchman School of Management,Business,Bachelor,12/31/2020,Part-Time,University Orthopaedics Associates,,,,45000.00,,,
2044,2021,Newark College of Engineering,Biomedical Engineering,Bachelor,5/18/2021,Part-Time,L B Electric Co LLC,,,,,,,
2045,2021,Newark College of Engineering,Civil Engineering Technology,Bachelor,12/31/2020,Part-Time,New Jersey Institute of Technology,,,,,,,
2046,2021,Newark College of Engineering,Biomedical Engineering,Doctorate,8/31/2020,Part-Time,New Jersey Institute of Technology,,,,,,,
2047,2021,Martin Tuchman School of Management,Business,Bachelor,12/31/2020,Part-Time,NJIT Wellness And Events Center,,,,,,,
2048,2021,Martin Tuchman School of Management,Business,Bachelor,12/31/2020,Part-Time,New Jersey Institute of Technology,,,,,,,
2049,2021,Ying Wu College of Computing,Computer Science,Bachelor,12/31/2020,Part-Time,The UPS Store,,,,,,,
2050,2021,Ying Wu College of Computing,Computer Science,Bachelor,12/31/2020,Part-Time,New Jersey Institute of Technology,,,,,,,
2051,2021,Ying Wu College of Computing,Computer Science,Bachelor,12/31/2020,Part-Time,Best Buy,,,,,,,
2052,2021,Ying Wu College of Computing,Data Science,Master,5/18/2021,Part-Time,New Jersey Institute of Technology,,,,,,,
2053,2021,Newark College of Engineering,Electrical Engineering,Bachelor,5/18/2021,Part-Time,New Jersey Institute of Technology,,,,,,,
2054,2021,Newark College of Engineering,Electrical Engineering,Bachelor,5/18/2021,Part-Time,CVS Pharmacy,,,,,,,
2055,2021,Martin Tuchman School of Management,Business,Bachelor,5/18/2021,Part-Time,Heights Flower Shoppe,,,,,,,
2056,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Part-Time,New Jersey Institute of Technology,,,,,,,
2057,2021,College of Science and Liberal Arts,Chemistry,Bachelor,5/18/2021,Part-Time,Domino's,,,,,,,
2058,2021,Newark College of Engineering,Chemical Engineering,Bachelor,5/18/2021,Part-Time,Benjamin Moore & Co.,,,,,,,
2059,2021,College of Science and Liberal Arts,Biochemistry,Bachelor,5/18/2021,Part-Time,Atlantic Health System,,,,,,,
2060,2021,Newark College of Engineering,Civil Engineering,Bachelor,5/18/2021,Part-Time,"Nordic Contracting Co., Inc.",,,,,,,
2061,2021,Ying Wu College of Computing,Computer Science,Master,5/18/2021,Part-Time,New Jersey Institute of Technology,,,,,,,
2062,2021,Newark College of Engineering,Biomedical Engineering,Bachelor,5/18/2021,Part-Time,New Jersey Institute of Technology,,,,,,Engineering,Master's
2063,2021,Newark College of Engineering,Chemical Engineering,Master,8/31/2020,Part-Time,Synova USA Inc.,,,,,,,
2064,2021,Martin Tuchman School of Management,Master of Business Administration,Master,12/31/2020,Part-Time,Army National Guard,,,,,,,
2065,2021,College of Science and Liberal Arts,Biology,Bachelor,8/31/2020,Part-Time,New Jersey Institute of Technology,,,,,,,
2066,2021,Ying Wu College of Computing,Information Technology,Bachelor,5/18/2021,Part-Time,Van Houten Library,,,,,,,
2067,2021,Ying Wu College of Computing,Computer Science,Master,5/18/2021,Part-Time,NJIT Math Tutoring Center,,,,,,,
2068,2021,Newark College of Engineering,Chemical Engineering,Bachelor,5/18/2021,Part-Time,New Jersey Institute of Technology,,,,,,,
2069,2021,Newark College of Engineering,Civil Engineering,Bachelor,12/31/2020,Part-Time,New Jersey Institute of Technology,,,,,,,
2070,2021,Newark College of Engineering,Electrical Engineering,Bachelor,5/18/2021,Part-Time,NJIT The Learning Center,,,,,,,
2071,2021,Ying Wu College of Computing,Computer Science,Bachelor,5/18/2021,Part-Time,New Jersey Institute of Technology,,,,,,,
2072,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,12/31/2020,Part-Time,CVS Health,,,,,,,
2073,2021,Martin Tuchman School of Management,Business,Bachelor,5/18/2021,Part-Time,NJIT Investment Fund,,,,,,,
2074,2021,Newark College of Engineering,Mechanical Engineering,Bachelor,5/18/2021,Part-Time,NJIT Solar Car Team,,,,,,,
2075,2021,College of Science and Liberal Arts,Environmental Science,Master,12/31/2020,Part-Time,New Jersey Institute of Technology,,,,,,,
2076,2021,Newark College of Engineering,Chemical Engineering,Bachelor,5/18/2021,Part-Time,New Jersey Institute of Technology,,,,,,,
2077,2021,Newark College of Engineering,Computer Engineering,Doctorate,8/31/2020,Part-Time,New Jersey Institute of Technology,,,,,,,
2078,2021,Ying Wu College of Computing,Computer Science,Doctorate,8/31/2020,Part-Time,New Jersey Institute of Technology,,,,,,,
2079,2021,Newark College of Engineering,Chemical Engineering,Doctorate,8/31/2020,Part-Time,New Jersey Institute of Technology,,,,,,,
2080,2021,College of Science and Liberal Arts,Mathematical Sciences,Doctorate,8/31/2020,Part-Time,New Jersey Institute of Technology,,,,,,,
2081,2021,College of Science and Liberal Arts,Biology,Bachelor,5/18/2021,Part-Time,New Jersey Institute of Technology,USA,Newark,NJ,,Rutgers School of Dental Medicine,Health/Medicine,"Medical degree (M.D., DDS, etc.)"
2082,2021,Ying Wu College of Computing,Information Technology,Bachelor,8/31/2020,Part-Time,Tata Consultancy Services,,,,,,,
2083,2021,Hillier College of Architecture and Design,Urban Systems,Doctorate,8/31/2020,Part-Time,New Jersey Institute of Technology,,,,,,,
2084,2021,Hillier College of Architecture and Design,Interior Design,Bachelor,5/18/2021,Part-Time,New Jersey Institute of Technology,,,,,,,
2085,2021,College of Science and Liberal Arts,Biophysics,Bachelor,5/18/2021,Part-Time,Rutgers University - Camden,,,,,,,
2086,2021,Ying Wu College of Computing,Computer Science,Master,5/18/2021,Part-Time,New Jersey Institute of Technology,,,,,,,
2087,2021,Martin Tuchman School of Management,Business,Bachelor,5/18/2021,Part-Time,New Jersey Institute of Technology,,,,,,,
2088,2021,College of Science and Liberal Arts,Applied Physics,Bachelor,5/18/2021,Part-Time,Resource Room Tutoring Center ,,,,,,,
2089,2021,Ying Wu College of Computing,Computer Science,Bachelor,5/18/2021,Part-Time,New Jersey Institute of Technology,,,,,,,
2090,2021,College of Science and Liberal Arts,Biology,Bachelor,5/18/2021,Part-Time,New Jersey Institute of Technology,USA,Newark,NJ,,New Jersey Medical School,Health/Medicine,"Medical degree (M.D., DDS, etc.)"
2091,2021,Newark College of Engineering,Civil Engineering,Doctorate,5/18/2021,Part-Time,New Jersey Institute of Technology,,,,,,,
2092,2022,Ying Wu College of Computing,Information Technology,Bachelor,12/31/2021,Full-Time,ZT Systems,USA,,,,,,
2093,2022,Newark College of Engineering,Electrical and Computer Engineering Technology,Bachelor,8/31/2021,Full-Time,ZT Systems,USA,Paterson,NJ,,,,
2094,2022,Newark College of Engineering,Mechanical Engineering,Bachelor,5/17/2022,Full-Time,ZT Systems,,,,70000.00,,,
2095,2022,Newark College of Engineering,Industrial Engineering,Bachelor,5/17/2022,Full-Time,ZT Systems,United Arab Emirates,,,,,,
2096,2022,Newark College of Engineering,Electrical and Computer Engineering Technology,Bachelor,12/31/2021,Full-Time,ZT Systems,USA,Carlstadt,NJ,,,,
2097,2022,Newark College of Engineering,Mechanical Engineering,Bachelor,5/17/2022,Full-Time,ZT Systems,,,,70000.00,,,
2098,2022,Newark College of Engineering,Biomedical Engineering,Bachelor,5/17/2022,Full-Time,"ZSX Medical, LLC",USA,New York City Metropolitan Area,NY,,,,
2099,2022,Ying Wu College of Computing,Computer Science,Master,8/31/2021,Full-Time,Zimperium Inc.,,,,80000.00,,,
2100,2022,Martin Tuchman School of Management,MBA,Master,12/31/2021,Full-Time,Zimmer Biomet,,,State,105000.00,,,
2101,2022,Ying Wu College of Computing,Information Technology,Bachelor,5/17/2022,Full-Time,"Ziff Davis, LLC",,,,,,,
2102,2022,Ying Wu College of Computing,Computer Science,Doctorate,5/17/2022,Full-Time,Zhejiang University,,,,37831.22,,,
2103,2022,Newark College of Engineering,Computer Technology,Bachelor,5/17/2022,Full-Time,Zero-In,USA,New York City Metropolitan Area,NY,,,,
2104,2022,College of Science and Liberal Arts,Mathematical,Bachelor,5/17/2022,Full-Time,Zero-In,USA,New York City Metropolitan Area,NY,,,,
2105,2022,Newark College of Engineering,Mechanical Engineering,Bachelor,8/31/2021,Full-Time,Zapp Comics Cards & Toys,USA,New York City Metropolitan Area,NY,,,,
2106,2022,Newark College of Engineering,Civil Engineering,Bachelor,5/17/2022,Full-Time,YU & Associates,USA,,,68000.00,,,
2107,2022,Newark College of Engineering,Civil Engineering,Master,12/31/2021,Full-Time,YU & Associates,USA,New York City Metropolitan Area,NY,,,,
2108,2022,Martin Tuchman School of Management,Business,Bachelor,12/31/2021,Full-Time,Yard House Restaurants,USA,Union City,NJ,,,,
2109,2022,Newark College of Engineering,Computer Technology,Bachelor,5/17/2022,Full-Time,Xenon Ophthalmics,USA,Belleville,NJ,,,,
2110,2022,Ying Wu College of Computing,Information Systems,Master,12/31/2021,Full-Time,Xandr(Microsoft),USA,Newark,,125000.00,New Jersey Institute of Technology,Computing,"Doctoral Degree (Ph.D., Ed.D,)"
2111,2022,Newark College of Engineering,Civil Engineering,Bachelor,8/31/2021,Full-Time,WSP USA,USA,Union City,NJ,,,,
2112,2022,Newark College of Engineering,Electrical Engineering,Master,12/31/2021,Full-Time,"Writing Architect, LLC.",USA,Salt Lake City Metropolitan Area,UT,,,,
2113,2022,Newark College of Engineering,Civil Engineering,Bachelor,5/17/2022,Full-Time,Wm. Blanchard Co. ,,,,60000.00,,,
